##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	004-2_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5319145
Total Bases	531.9 Mbp
Sequences flagged as poor quality	0
Sequence length	100
%GC	66
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	14-15	-0.11438843852334202
1103	16-17	-0.028867812862593212
1103	18-19	0.020831023834269047
1103	20-21	0.001486645784531504
1103	22-23	-0.03170699751994022
1103	24-25	-0.06163067215130269
1103	26-27	-0.045564881830166826
1103	28-29	-0.09781393814331096
1103	30-31	-0.05570865765487554
1103	32-33	0.012156369013609947
1103	34-35	0.12991218795661297
1103	36-37	-0.1432550678838851
1103	38-39	-0.16441160445826597
1103	40-41	-0.26840208719953296
1103	42-43	0.023844149167430828
1103	44-45	-0.09860691908898644
1103	46-47	-0.16455334558906287
1103	48-49	-0.30772041589362686
1103	50-51	-0.33162355775844077
1103	52-53	-0.31547749839432626
1103	54-55	-0.34996747925798033
1103	56-57	-0.2473957166332248
1103	58-59	-0.20939154989591913
1103	60-61	-0.12088486834454315
1103	62-63	-0.23004626764723213
1103	64-65	-0.18432167547700828
1103	66-67	-0.283196359273159
1103	68-69	-0.39134468617402973
1103	70-71	-0.3640497462202674
1103	72-73	-0.34158798402458856
1103	74-75	-0.3713838438852193
1103	76-77	-0.37540539023896
1103	78-79	-0.2890361864600415
1103	80-81	-0.2321042998044085
1103	82-83	-0.434910350889691
1103	84-85	-0.5571185159609726
1103	86-87	-0.6298658199040226
1103	88-89	-0.6632309322934731
1103	90-91	-0.7997506447934377
1103	92-93	-0.810068893797979
1103	94-95	-0.9050726208322963
1103	96-97	-0.8820731332386167
1103	98-99	-0.929393074319492
1103	100	-1.2667388529006445
1104	1	-0.021020018173540933
1104	2	-0.07325415290080528
1104	3	-0.01867033260985096
1104	4	0.05448759314892726
1104	5	0.005482251394028026
1104	6	0.05794463635730551
1104	7	0.015533110866854827
1104	8	-0.03874933227103128
1104	9	-0.09309870405943599
1104	10-11	-0.07053288545937164
1104	12-13	-0.048571098983515526
1104	14-15	-0.10114486947803414
1104	16-17	-0.06253781609152753
1104	18-19	-0.13182251184542082
1104	20-21	-0.12262270735291025
1104	22-23	-0.1317974075942132
1104	24-25	-0.10490480841219352
1104	26-27	-0.18310615833431854
1104	28-29	-0.09825737803137002
1104	30-31	-0.06400528880329404
1104	32-33	-0.2681144306850243
1104	34-35	-0.2473539836072689
1104	36-37	-0.2206585766558149
1104	38-39	-0.2577597908752338
1104	40-41	-0.3600828535325462
1104	42-43	-0.16166914326610993
1104	44-45	-0.2655758137182076
1104	46-47	-0.2888334015571985
1104	48-49	-0.38512521623805185
1104	50-51	-0.3310668900154603
1104	52-53	-0.44045629507929007
1104	54-55	-0.3384948713578595
1104	56-57	-0.37576768951020156
1104	58-59	-0.28983606609438795
1104	60-61	-0.18978035860393305
1104	62-63	-0.014091472684366835
1104	64-65	-0.06055071433181425
1104	66-67	-0.05277423033117401
1104	68-69	-0.15698089325615072
1104	70-71	-0.3762854581996038
1104	72-73	-0.4096678462568555
1104	74-75	-0.4636434499556117
1104	76-77	-0.20676433975999942
1104	78-79	-0.1524941565386122
1104	80-81	-0.18317415234988133
1104	82-83	-0.24282855129868963
1104	84-85	-0.4280839663968763
1104	86-87	-0.41652172346660876
1104	88-89	-0.5423472814485706
1104	90-91	-0.5248790486250989
1104	92-93	-0.5801128072626227
1104	94-95	-0.6854222064527882
1104	96-97	-0.9695595179119572
1104	98-99	-0.9096010174903029
1104	100	-0.9148236661607889
1105	1	-0.2494619918401213
1105	2	-0.14788569868857948
1105	3	-0.18583627771657873
1105	4	-0.09325851270052254
1105	5	-0.07569796881150381
1105	6	-0.028335143831434095
1105	7	-0.04575627469880317
1105	8	-0.22704646288846675
1105	9	-0.15413418581887584
1105	10-11	-0.08538253666851858
1105	12-13	-0.11533564997287726
1105	14-15	-0.16304793301996057
1105	16-17	-0.07068538847584449
1105	18-19	-0.2008764013290758
1105	20-21	-0.2801621940013419
1105	22-23	-0.5568991240096821
1105	24-25	-1.0360331696403549
1105	26-27	-0.869055071005647
1105	28-29	-0.9781378247829835
